stationName,stationUrl,stationLatitude,stationLongitude,tags,Station,Afgange,Afgange_corrected
Albertslund,http://www.dsb.dk/kundeservice/stationer/albertslund/,55.658108,12.353142,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Albertslund,14.0,14.0
Alken,http://www.dsb.dk/kundeservice/stationer/alken/,56.0523918,9.8457079,[],Alken,1.0,1.0
Allerød,http://www.dsb.dk/kundeservice/stationer/allerod/,55.8706131,12.3568097,['Aflåst cykelparkering'],Allerød,9.0,9.0
Arden,http://www.dsb.dk/kundeservice/stationer/arden/,56.769733,9.859934,[],Arden,2.0,2.0
Asnæs,http://www.dsb.dk/kundeservice/stationer/asnas/,55.8099266,11.5032869,[],Asnæs,2.0,2.0
Aulum,http://www.dsb.dk/kundeservice/stationer/aulum/,56.265253,8.788423,[],Aulum,1.0,1.0
Avedøre,http://www.dsb.dk/kundeservice/stationer/avedore/,55.6254,12.454097,[],Avedøre,9.0,9.0
Bagsværd,http://www.dsb.dk/kundeservice/stationer/bagsvard/,55.7612225,12.4541519,[],Bagsværd,10.0,10.0
Ballerup,http://www.dsb.dk/kundeservice/stationer/ballerup/,55.729635,12.358926,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Ballerup,12.0,12.0
Bedsted Thy,http://www.dsb.dk/kundeservice/stationer/bedsted-thy/,56.806831,8.405832,[],Bedsted Thy,2.0,2.0
Bernstorffsvej,http://www.dsb.dk/kundeservice/stationer/bernstorffsvej/,55.743001,12.557527,[],Bernstorffsvej,9.0,9.0
Birk Centerpark,http://www.dsb.dk/kundeservice/stationer/birk-centerpark/,56.1292882,9.0293258,[],Birk Centerpark,1.0,1.0
Birkerød,http://www.dsb.dk/kundeservice/stationer/birkerod/,55.840636,12.42369,[],Birkerød,9.0,9.0
Bispebjerg,http://www.dsb.dk/kundeservice/stationer/bispebjerg/,55.7112395,12.5370691,[],Bispebjerg,19.0,19.0
Bjerringbro,http://www.dsb.dk/kundeservice/stationer/bjerringbro/,56.374731,9.658391,[],Bjerringbro,3.0,3.0
Bording,http://www.dsb.dk/kundeservice/stationer/bording/,56.147004,9.278974,[],Bording,2.0,2.0
Borris,http://www.dsb.dk/kundeservice/stationer/borris/,55.958293,8.647713,[],Borris,1.0,1.0
Borup,http://www.dsb.dk/kundeservice/stationer/borup-station/,55.494698,11.972512,[],Borup,4.0,4.0
Bramming,http://www.dsb.dk/kundeservice/stationer/bramming/,55.4646307,8.7046069,"['Aflåst cykelparkering', 'Stationsstuer']",Bramming,7.0,7.0
Brande,http://www.dsb.dk/kundeservice/stationer/brande/,55.944565,9.129686,['Aflåst cykelparkering'],Brande,1.0,1.0
Bred,http://www.dsb.dk/kundeservice/stationer/bred/,55.373909,10.1045529,[],Bred,0.0,0.0
Bredebro,http://www.dsb.dk/kundeservice/stationer/bredebro/,55.0568898,8.8234114,[],Bredebro,1.0,1.0
Brejning,http://www.dsb.dk/kundeservice/stationer/brejning/,55.6662378,9.6605138,[],Brejning,0.0,0.0
Brøndby Strand,http://www.dsb.dk/kundeservice/stationer/brondby-strand/,55.621179,12.422535,[],Brøndby Strand,10.0,10.0
Brøndbyøster,http://www.dsb.dk/kundeservice/stationer/brondbyoster/,55.6646254,12.4391005,['Aflåst cykelparkering'],Brøndbyøster,9.0,9.0
Brønderslev,http://www.dsb.dk/kundeservice/stationer/bronderslev/,57.2702909,9.9437398,['Aflåst cykelparkering'],Brønderslev,4.0,4.0
Brøns,http://www.dsb.dk/kundeservice/stationer/brons/,55.1944974,8.7409104,[],Brøns,1.0,1.0
Brørup,http://www.dsb.dk/kundeservice/stationer/brorup/,55.4845615,9.0185437,[],Brørup,1.0,1.0
Buddinge,http://www.dsb.dk/kundeservice/stationer/buddinge/,55.747147,12.494284,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Buddinge,12.0,12.0
Bur,http://www.dsb.dk/kundeservice/stationer/bur/,56.367486,8.427206,[],Bur,2.0,2.0
Børkop,http://www.dsb.dk/kundeservice/stationer/borkop/,55.642006,9.65181,[],Børkop,0.0,0.0
Carlsberg,http://www.dsb.dk/kundeservice/stationer/carlsberg/,55.663399,12.536876,[],Carlsberg,20.0,28.0
Charlottenlund,http://www.dsb.dk/kundeservice/stationer/charlottenlund/,55.7517533,12.5720023,['Aflåst cykelparkering'],Charlottenlund,9.0,9.0
Danshøj,http://www.dsb.dk/kundeservice/stationer/danshoj/,55.6616585,12.5167753,[],Danshøj,21.0,34.0
Dianalund,http://www.dsb.dk/kundeservice/stationer/dianalund/,55.5334784,11.4952398,[],Dianalund,2.0,2.0
Dybbølsbro,http://www.dsb.dk/kundeservice/stationer/dybbolsbro/,55.6645998,12.5529313,['DSB 7-Eleven'],Dybbølsbro,21.0,50.0
Dyssegård,http://www.dsb.dk/kundeservice/stationer/dyssegard/,55.7319085,12.5361953,[],Dyssegård,15.0,15.0
Døstrup Sønderjylland,http://www.dsb.dk/kundeservice/stationer/dostrup-sonderjylland/,55.1169164,8.8039019,[],Døstrup Sønderjylland,1.0,1.0
Egedal,http://www.dsb.dk/kundeservice/stationer/egedal/,55.781717,12.1837936,['Aflåst cykelparkering'],Egedal,10.0,10.0
Ejby,http://www.dsb.dk/kundeservice/stationer/ejby/,55.4258007,9.9322647,[],Ejby,2.0,2.0
Emdrup,http://www.dsb.dk/kundeservice/stationer/emdrup/,55.719809,12.541461,[],Emdrup,15.0,15.0
Engesvang,http://www.dsb.dk/kundeservice/stationer/engesvang/,56.168354,9.35232,[],Engesvang,1.0,1.0
Esbjerg,http://www.dsb.dk/kundeservice/stationer/esbjerg/,55.468192,8.458251,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Esbjerg,4.0,4.0
Eskilstrup,http://www.dsb.dk/kundeservice/stationer/eskilstrup/,54.8542177,11.8852608,[],Eskilstrup,2.0,2.0
Espergærde,http://www.dsb.dk/kundeservice/stationer/espergarde/,55.995292,12.549184,['Aflåst cykelparkering'],Espergærde,6.0,6.0
Farum,http://www.dsb.dk/kundeservice/stationer/farum/,55.8120599,12.373299,['DSB 7-Eleven'],Farum,5.0,5.0
Favrholm,http://www.dsb.dk/kundeservice/stationer/Favrholm/,55.910257969053134,12.315230809298795,['Aflåst cykelparkering'],Favrholm,9.0,9.0
Faxe Ladeplads,http://www.dsb.dk/kundeservice/stationer/fakse-ladeplads/,55.217099,12.162009,[],Faxe Ladeplads,2.0,2.0
Flintholm,http://www.dsb.dk/kundeservice/stationer/flintholm/,55.685457,12.499963,"['DSB 7-Eleven', 'Aflåst cykelparkering']",Flintholm,21.0,35.0
Fredensborg,http://www.dsb.dk/kundeservice/stationer/fredensborg/,55.977243,12.4069266,[],Fredensborg,2.0,2.0
